id,name,rating,themes,keywords,involved_companies,first_release_year
221059,Tales of Vesperia,0,"[""Action"", ""Fantasy""]",[],"[""Namco Bandai Games"", ""Namco Tales Studio""]",2009
986,Halo 2,83.8,"[""Action"", ""Science fiction"", ""Warfare""]","[""aliens"", ""vehicular combat"", ""bloody"", ""insects"", ""pvp"", ""futuristic"", ""space"", ""rebellion"", ""forest"", ""flying"", ""achievements"", ""civil war"", ""capture the flag"", ""king of the hill"", ""tank"", ""easter egg"", ""sequel"", ""giant insects"", ""hunter"", ""alien invasion"", ""vehicle combat"", ""death match"", ""customization"", ""color customization"", ""red vs blue"", ""ragdoll physics"", ""player vs player"", ""xbox live"", ""melee"", ""real-time combat"", ""difficulty level"", ""vending machine interaction"", ""mercenary"", ""sequence breaking"", ""development hell"", ""banshee"", ""animation canceling"", ""speedrun"", ""team deathmatch"", ""banter during gameplay"", ""linear gameplay"", ""alternative blood"", ""scorpion"", ""dual wielding"", ""alien protagonist"", ""cliffhanger"", ""super soldier"", ""hunters"", ""games for windows - live"", ""phantom"", ""vehicles"", ""dual wield"", ""alien world"", ""male protagonist""]","[""Bungie"", ""Microsoft Game Studios"", ""Pi Studios""]",2004
56,The Elder Scrolls III: Morrowind,85.9,"[""Action"", ""Fantasy"", ""Sandbox"", ""Open world""]","[""ghosts"", ""assassin"", ""hunting"", ""wizards"", ""disease"", ""vampire"", ""murder"", ""drugs"", ""magic"", ""guild"", ""summoning support"", ""death"", ""procedural generation"", ""mummy"", ""archery"", ""religion"", ""steam"", ""chosen one"", ""custom soundtrack"", ""snow"", ""slavery"", ""racism"", ""teleportation"", ""sequel"", ""good vs evil"", ""swimming"", ""day/night cycle"", ""alchemy"", ""warriors"", ""gods"", ""trolls"", ""user generated content"", ""boss fight"", ""trainer"", ""sexual content"", ""necromancy"", ""single-player only"", ""anthropomorphism"", ""throwing weapons"", ""attributes"", ""customizable characters"", ""leveling up"", ""world map"", ""bink video"", ""human"", ""polygonal 3d"", ""loot gathering"", ""goblins"", ""skeletons"", ""game reference"", ""rat"", ""werewolves"", ""original soundtrack release"", ""wasd movement"", ""non-player character"", ""bards"", ""escort mission"", ""falling damage"", ""character creation"", ""saving the world"", ""side quests"", ""branching storyline"", ""duel"", ""downloadable content"", ""questing"", ""melee"", ""real-time combat"", ""difficulty level"", ""spellcaster"", ""multiple gameplay perspectives"", ""liberation"", ""movie reference"", ""mercenary"", ""floating island"", ""commerce"", ""bribery"", ""smuggling"", ""theft"", ""vampire hunter"", ""healer"", ""changing sides"", ""sleeping"", ""item combination"", ""skill tree"", ""merchants"", ""reptilian humanoid"", ""mod support"", ""particle system"", ""dolby digital"", ""summoners"", ""fetch quests"", ""quest tracking"", ""mana"", ""agents"", ""levitation"", ""blacksmith"", ""zero to hero"", ""pickpocketing"", ""lock picking"", ""telekinesis"", ""optional lore"", ""fast traveling"", ""barbarians"", ""nameless protagonist"", ""acrobatics"", ""ghoul"", ""dark elves"", ""invented language"", ""movement penalty"", ""battle mage"", ""two-handed weapons"", ""flower picking"", ""bartender"", ""reincarnation"", ""god mode"", ""negotiation"", ""greatest hits"", ""conjuration"", ""illusion"", ""vampirism"", ""level scaling"", ""monomyth"", ""danger zone"", ""tomb raiding"", ""level by doing"", ""witch hunter"", ""xbox 360 backwards compatibility"", ""roaming the countryside"", ""immersive"", ""suggestive themes""]","[""ZeniMax Media"", ""Bethesda Game Studios"", ""Bethesda Softworks""]",2002
521,Fable,84.2,"[""Action"", ""Fantasy"", ""Historical"", ""Sandbox"", ""Open world""]","[""pirates"", ""ghosts"", ""medieval"", ""murder"", ""magic"", ""fishing"", ""gambling"", ""chicken"", ""hand-to-hand combat"", ""action-adventure"", ""time limit"", ""multiple endings"", ""undead"", ""artificial intelligence"", ""revenge"", ""billiards"", ""singing"", ""silent protagonist"", ""good vs evil"", ""day/night cycle"", ""gladiators"", ""sword & sorcery"", ""trolls"", ""boss fight"", ""game critics awards"", ""platform exclusive"", ""customizable characters"", ""leveling up"", ""voice acting"", ""human"", ""shopping"", ""bow and arrow"", ""game reference"", ""original soundtrack release"", ""non-player character"", ""young protagonist"", ""escort mission"", ""character growth"", ""saving the world"", ""moral decisions"", ""side quests"", ""branching storyline"", ""questing"", ""potion"", ""melee"", ""real-time combat"", ""secret area"", ""mercenary"", ""coming of age"", ""commerce"", ""theft"", ""british accent"", ""recurring boss"", ""changing sides"", ""sleeping"", ""games on demand"", ""never-ending"", ""dolby digital"", ""cross-dressing"", ""women in refrigerators syndrome"", ""age progression"", ""zero to hero"", ""escaping imprisonment"", ""nameless protagonist"", ""sex work"", ""notoriety system"", ""timeskip"", ""hero turned evil"", ""old-fashioned english"", ""one button combat"", ""bully mode"", ""backwards compatibility"", ""xbox live aware"", ""generation shift"", ""memorial"", ""xbox 360 backwards compatibility"", ""spike video game awards 2004"", ""interactive achievement awards 2005"", ""lgbtq+"", ""male protagonist""]","[""Microsoft Game Studios"", ""Big Blue Box""]",2004
337139,Disney's House of Mouse: Pack the House,0,"[""Kids"", ""Party""]",[],"[""Disney""]",
77978,Tom Clancy's Ghost Recon,79.7,"[""Action""]","[""modern warfare"", ""rail shooter"", ""over the shoulder"", ""modern military"", ""bink video"", ""polygonal 3d""]","[""Next Level Games""]",2010
324860,Grabbed by the Ghoulies,0,"[""Action"", ""Horror"", ""Survival"", ""Comedy""]","[""cameo appearance"", ""teenager"", ""animated cutscenes""]","[""Rare""]",2015
118,Star Wars: Knights of the Old Republic II - The Sith Lords,86.6,"[""Action"", ""Science fiction"", ""Open world""]","[""aliens"", ""character customization"", ""murder"", ""minigames"", ""story driven"", ""turn-based"", ""death"", ""military"", ""robots"", ""gambling"", ""star wars"", ""futuristic"", ""spaceship"", ""female protagonist"", ""real-time"", ""insanity"", ""jedi"", ""steam"", ""party-based combat"", ""based on - movie"", ""multiple endings"", ""hacking"", ""artificial intelligence"", ""dialogue trees"", ""amnesia"", ""sequel"", ""good vs evil"", ""boss fight"", ""explosion"", ""digital distribution"", ""single-player only"", ""throwing weapons"", ""attributes"", ""rivaling factions"", ""alternate costumes"", ""customizable characters"", ""customization"", ""leveling up"", ""world map"", ""voice acting"", ""bink video"", ""human"", ""polygonal 3d"", ""upgradeable weapons"", ""party system"", ""cameo appearance"", ""original soundtrack release"", ""active ability"", ""humble bundle"", ""non-player character"", ""character creation"", ""moral decisions"", ""side quests"", ""pick your gender"", ""branching storyline"", ""resistance"", ""melee"", ""a.i. companion"", ""blindness"", ""male antagonist"", ""planet jumping"", ""villain"", ""evolving title screen"", ""tie-in"", ""pausable real time combat"", ""fetch quests"", ""super speed"", ""not-so-bad guys"", ""planet"", ""ancient advanced civilization technology"", ""poisoning"", ""zero to hero"", ""dual wielding"", ""escaping imprisonment"", ""genocide"", ""nameless protagonist"", ""playable boss"", ""status effects"", ""on-the-fly character switching"", ""alien languages"", ""potential love interest"", ""dark second act"", ""evil empire"", ""greatest hits"", ""hero turned evil"", ""metagame"", ""planet destruction"", ""pc to console port"", ""tragic villain"", ""motion-sensor bomb"", ""xbox 360 backwards compatibility"", ""d20"", ""unresolved stories"", ""previously on - prime gaming""]","[""LucasArts"", ""Obsidian Entertainment"", ""Activision"", ""Aspyr Media""]",2004
5867,Jade Empire,78.9,"[""Action"", ""Fantasy""]","[""martial arts"", ""female protagonist"", ""melee""]","[""Microsoft Game Studios"", ""BioWare""]",2005
991,Halo 4,77.9,"[""Action"", ""Science fiction"", ""Warfare""]","[""aliens"", ""zombies"", ""vehicular combat"", ""mech"", ""pvp"", ""military"", ""episodic"", ""futuristic"", ""spaceship"", ""space"", ""achievements"", ""artificial intelligence"", ""capture the flag"", ""jungle"", ""king of the hill"", ""tank"", ""sequel"", ""good vs evil"", ""hunter"", ""unlockable items"", ""dlc content"", ""free dlc"", ""death match"", ""digital distribution"", ""platform exclusive"", ""customization"", ""ranking system"", ""color customization"", ""photo mode"", ""unlockables"", ""hologram"", ""4 player co-op"", ""sprinting mechanics"", ""saving the world"", ""downloadable content"", ""player vs player"", ""xbox live"", ""real-time combat"", ""useable vehicles"", ""stat tracking"", ""pax prime 2013"", ""mercenary"", ""multiplayer scoreboard"", ""xbox one backwards compatibility"", ""banshee"", ""team deathmatch"", ""quick time event"", ""linear gameplay"", ""scorpion"", ""invisibility"", ""arrival by crash landing"", ""pax east 2013"", ""camouflage"", ""a.i. construct"", ""crash landing"", ""super soldier"", ""hunters"", ""online multiplayer achievements"", ""phantom"", ""xbox live achievements"", ""story dlc"", ""assassination""]","[""343 Industries"", ""Microsoft Studios""]",2012
1672,Panzer Dragoon Orta,81.6,"[""Action"", ""Science fiction""]","[""rail shooter"", ""female protagonist"", ""flight"", ""on-rails"", ""boss fight"", ""leveling up"", ""emulation"", ""predecessor included"", ""ancient advanced civilization technology"", ""fascism"", ""airship"", ""invented language"", ""greatest hits"", ""xbox 360 backwards compatibility"", ""previously on - xbox gamepass""]","[""Smilebit"", ""Sega""]",2002
4047,NHL Hitz 2003,78.4,[],"[""ice hockey"", ""national hockey league"", ""box art - real photos"", ""year in the title"", ""difficulty level"", ""commentary"", ""penalties"", ""montreal canadiens"", ""xbox 360 backwards compatibility""]","[""Black Box Games"", ""Midway Games"", ""Exient Entertainment""]",2002
11416,Persona 3 Portable,84.4,"[""Action"", ""Horror""]","[""greek mythology"", ""anime"", ""cyberpunk"", ""grinding"", ""dating"", ""summoning support"", ""jrpg"", ""death"", ""female protagonist"", ""supernatural"", ""multiple protagonists"", ""party-based combat"", ""backtracking"", ""chosen one"", ""multiple endings"", ""high school"", ""dialogue trees"", ""enhanced version"", ""amnesia"", ""silent protagonist"", ""party-based"", ""turn-based combat"", ""day/night cycle"", ""boss fight"", ""digital distribution"", ""anthropomorphism"", ""students"", ""alternate costumes"", ""leveling up"", ""character select screen"", ""cat"", ""broken english"", ""polygonal 3d"", ""shopping"", ""bow and arrow"", ""transforming boss"", ""love triangle"", ""party system"", ""randomly generated dungeons"", ""cartoon cutscene"", ""original soundtrack release"", ""non-player character"", ""save point"", ""buddhism"", ""treasure chest"", ""character growth"", ""moral decisions"", ""pick your gender"", ""branching storyline"", ""fusion"", ""optional boss"", ""difficulty level"", ""internet culture reference"", ""audio logs"", ""vending machine interaction"", ""playstation tv support"", ""coming of age"", ""cross culture language skills"", ""shinto"", ""order and chaos"", ""video game characters that play video games"", ""suicide"", ""hallucination"", ""power of friendship"", ""new protagonist in sequel"", ""day-based narrative"", ""flashback"", ""women in refrigerators syndrome"", ""new game plus"", ""gothic lolita"", ""battle screen"", ""reversible cover art"", ""ghoul"", ""two-handed weapons"", ""tragic hero"", ""potential love interest"", ""health from romance"", ""j-pop"", ""gender exclusive equipment"", ""damage over time"", ""western published japanese games"", ""monomyth"", ""easy mode"", ""adapted to - theater"", ""lunar cycle"", ""tokyo game show 2009"", ""male protagonist"", ""turn-based rpg"", ""party-based rpg""]","[""Ghostlight Ltd."", ""Atlus USA"", ""Atlus""]",2009
19262,Sonic Rivals 2,40.3,"[""Action""]","[""robots"", ""2.5d"", ""multiple protagonists"", ""achievements"", ""sequel"", ""high score"", ""digital distribution"", ""anthropomorphism"", ""voice acting"", ""cat"", ""polygonal 3d"", ""bat"", ""hedgehog"", ""xbox live"", ""playstation tv support"", ""leaderboard"", ""western games based on japanese ips"", ""spiky-haired protagonist"", ""rivalry"", ""grind"", ""game sharing"", ""multiple playable characters""]","[""Sega"", ""Sega Studio USA"", ""Backbone Entertainment""]",2007
1459,LocoRoco,81.7,"[""Action"", ""Comedy""]","[""minigames"", ""side-scrolling"", ""level selection"", ""good vs evil"", ""digital distribution"", ""character select screen"", ""collectibles"", ""non-humanoid protagonist"", ""playstation experience 2016"", ""in-game map editor"", ""secret area"", ""playstation tv support"", ""planet"", ""greatest hits"", ""game sharing"", ""interactive achievement awards 2007""]","[""SCE Japan Studio"", ""Sony Computer Entertainment""]",2006
24275,Mega Man: Maverick Hunter X,77.3,"[""Action"", ""Science fiction""]","[""death"", ""robots"", ""2.5d"", ""high score"", ""boss fight"", ""digital distribution"", ""voice acting"", ""game title announcer"", ""playstation plus"", ""underwater gameplay"", ""optional boss"", ""difficulty level"", ""playstation tv support"", ""moving platforms"", ""water level"", ""fictional currencies"", ""game sharing""]","[""Capcom""]",2005
391,Dissidia Final Fantasy,73.9,"[""Action"", ""Fantasy""]","[""martial arts"", ""magic"", ""soldier"", ""female protagonist"", ""hand-to-hand combat"", ""brawler"", ""crossover"", ""online"", ""artificial intelligence"", ""over the shoulder"", ""good vs evil"", ""playstation network"", ""gods"", ""heroes"", ""boss fight"", ""explosion"", ""death match"", ""digital distribution"", ""pax west 2017"", ""throwing weapons"", ""alternate costumes"", ""human"", ""special attacks"", ""original soundtrack release"", ""sprinting mechanics"", ""saving the world"", ""melee"", ""shielded enemies"", ""female antagonist"", ""pack-in game"", ""mercenary"", ""playstation tv support"", ""villain"", ""summoners"", ""team deathmatch"", ""teenager"", ""androgyny"", ""victory music"", ""reversible cover art"", ""playable boss"", ""black magic"", ""two-handed weapons"", ""secret history"", ""fictional currencies"", ""secret past"", ""white magic"", ""gender exclusive equipment"", ""combo breaker"", ""planet destruction"", ""international version"", ""gamescom 2009"", ""male protagonist""]","[""Square Enix"", ""Square Enix Product Development Division 1""]",2008
43668,Monster Hunter 2,80.0,"[""Action"", ""Sandbox""]","[""action-adventure"", ""hunter"", ""real-time combat"", ""fan translation - english""]","[""Capcom""]",2006
397,Final Fantasy: 20th Anniversary Edition,76.1,"[""Action"", ""Fantasy""]",[],"[""Square Enix"", ""Tose"", ""Square Enix Product Development Division 5"", ""Quintet""]",2007
263007,Echochrome,0,[],[],"[""Sony Interactive Entertainment"", ""Will"", ""SIE Japan Studio""]",2022
304131,Riviera: The Promised Land,0,"[""Fantasy""]",[],"[""Bandai Namco Entertainment"", ""Sting""]",2024
2407,Crisis Core: Final Fantasy VII,82.9,"[""Action"", ""Science fiction""]","[""military"", ""bromance"", ""political thriller"", ""mercenary"", ""interactive environments"", ""evil organization"", ""innocent people die"", ""secret history"", ""secret past"", ""eco-terrorism"", ""kill quest""]","[""Square Enix Product Development Division 1"", ""Square Enix""]",2007
1224,Kingdom Hearts Birth by Sleep,85.8,"[""Action""]","[""mickey mouse"", ""goofy"", ""donald duck""]","[""Square Enix"", ""Square Enix Product Development Division 5"", ""Disney Interactive Studios""]",2010
20427,Monster Hunter Freedom Unite,85.2,"[""Action"", ""Sandbox""]","[""bloody"", ""cooking"", ""farming"", ""hunter"", ""no jumping"", ""boss fight"", ""digital distribution"", ""world map"", ""language selection"", ""shopping"", ""upgradeable weapons"", ""loot gathering"", ""party system"", ""non-player character"", ""playstation plus"", ""downloadable content"", ""questing"", ""real-time combat"", ""a.i. companion"", ""playstation tv support"", ""item combination"", ""gamescom 2009""]","[""Capcom"", ""Capcom Production Studio 1""]",2008
381,Metal Gear Solid: Portable Ops,68.8,"[""Action"", ""Stealth"", ""Warfare""]","[""espionage""]","[""Konami"", ""Kojima Productions"", ""Konami Computer Entertainment Japan""]",2006
12937,Mega Man Powered Up,75.2,"[""Action"", ""Science fiction""]","[""mascot"", ""future"", ""death"", ""robots"", ""2.5d"", ""side-scrolling"", ""level selection"", ""mad scientist"", ""high score"", ""boss fight"", ""voice acting"", ""collectibles"", ""ice stage"", ""checkpoints"", ""in-game map editor"", ""instant kill"", ""difficulty level"", ""playable boss"", ""fictional currencies"", ""male protagonist""]","[""Capcom""]",2006
21062,Sonic Mania,84.0,"[""Action"", ""Kids""]","[""steam"", ""multiple protagonists"", ""achievements"", ""pixel art"", ""sequel"", ""boss fight"", ""digital distribution"", ""anthropomorphism"", ""protagonist's name in the title"", ""language selection"", ""xbox one x enhanced"", ""deliberately retro"", ""original soundtrack release"", ""playstation experience 2016"", ""pax west 2016"", ""speedrun"", ""the game awards 2017"", ""the game awards - nominee"", ""4k ultra hd"", ""male protagonist"", ""the game awards - best family game - nominee""]","[""Headcannon"", ""PagodaWest Games"", ""Tantalus Media"", ""Christian Whitehead"", ""Sega"", ""Hyperkinetic Studios"", ""Sega Games""]",2017
